"","SampleName","nCNV","meanCNVSize","Std.deviation","minCNVsize","maxCNVsize","nDel","meanDelSize","Del.Std.deviation","minDelSize","maxDelSize","nDup","meanDupSize","Dup.Std.deviation","minDupSize","maxDupSize","MeanTargetExons"
"172","Pseq_batch6_P-PSeq0007-P-A_1","50","15717.1","50432.029173342","151","348801","28","18467.75","65734.9067501712","151","348801","22","12216.2727272727","18867.3390840509","320","68760","3.78"
"173","Pseq_batch6_P-PSeq0008-P-A_1","58","12949.9827586207","28998.9132122382","320","151858","33","11367.0606060606","27619.8864338942","320","151858","25","15039.44","31178.3278778171","320","151071","3.06896551724138"
"174","Pseq_batch6_P-PSeq0009-P-A_1","51","12426.137254902","28908.5138587369","320","189514","35","10131.2857142857","15753.9374808732","320","54713","16","17446.125","46732.7434459323","320","189514","3.05882352941176"
"175","Pseq_batch7_P-Pseq_0012-P-A_1","72","11185.0694444444","21103.4840026818","176","151858","43","10523.9069767442","25347.2451802802","320","151858","29","12165.4137931034","12802.625859334","176","48646","3.16666666666667"
"176","Pseq_batch7_P-Pseq_0015-P-A_1","52","10724.5961538462","14868.7065609116","320","54713","36","9590.02777777778","14840.9357877578","320","54713","16","13277.375","15089.7853657146","320","36175","3.23076923076923"
"177","Pseq_batch7_P-Pseq_0016-P-A_1","63","15006.9682539683","32247.1634356285","320","189355","41","9159.43902439024","14331.4097789589","320","54713","22","25904.6363636364","49877.1445707163","320","189355","3.20634920634921"
"178","Pseq_batch8_P-PSeq_0010-P-A_1","57","11539.6842105263","23132.9599652885","320","129846","32","12786.75","26107.5102975271","320","129846","25","9943.44","19066.0742749174","320","88024","3.05263157894737"
"179","Pseq_batch8_P-PSeq_0011-P-A_1","42","6426.21428571429","11441.6290063441","320","65333","23","5356.73913043478","6977.52456897659","320","23978","19","7720.84210526316","15344.3893664505","320","65333","2.69047619047619"
"180","Pseq_batch9_P-Pseq_0013-P-A_1","63","9958.25396825397","25609.567010213","120","189514","39","8215.84615384615","11443.3325554975","320","47704","24","12789.6666666667","39218.336189202","120","189514","3.0952380952381"
"181","Pseq_batch9_P-Pseq_0014-P-A_1","48","10438.5625","17775.2569744195","320","74267","29","10693.9655172414","18301.1905613557","320","72208","19","10048.7368421053","17427.9303445236","326","74267","2.77083333333333"
"182","Pseq_batch9_P-Pseq_0019-P-A_1","51","16753.3333333333","32018.4190163516","218","202405","30","14142.6","18138.3178868802","218","58838","21","20482.9523809524","45399.0143279303","320","202405","3.52941176470588"
